window_index,t_window,split,n_samples,true_prev_-1,true_prev_0,true_prev_1
69,1459728000.0,test,144,0.13194444444444445,0.41666666666666663,0.4513888888888889
70,1459814400.0,test,144,0.1388888888888889,0.47916666666666674,0.3819444444444444
71,1459900800.0,test,144,0.2708333333333333,0.4930555555555556,0.2361111111111111
72,1459987200.0,test,144,0.5833333333333334,0.2847222222222222,0.13194444444444445
73,1460073600.0,test,144,0.3125,0.2847222222222222,0.4027777777777778
74,1460160000.0,test,144,0.3194444444444444,0.4097222222222223,0.2708333333333333
75,1460246400.0,test,144,0.3611111111111111,0.4930555555555556,0.14583333333333334
76,1460332800.0,test,144,0.2916666666666667,0.5902777777777778,0.11805555555555555
77,1460419200.0,test,144,0.2777777777777778,0.5416666666666666,0.18055555555555555
78,1460505600.0,test,144,0.3333333333333333,0.47916666666666674,0.1875
79,1460592000.0,test,144,0.2847222222222222,0.6041666666666667,0.1111111111111111
80,1460678400.0,test,144,0.2013888888888889,0.5069444444444444,0.2916666666666667
81,1460764800.0,test,144,0.2847222222222222,0.33333333333333337,0.3819444444444444
82,1460851200.0,test,144,0.2847222222222222,0.4652777777777778,0.25
83,1460937600.0,test,144,0.4791666666666667,0.375,0.14583333333333334
84,1461024000.0,test,144,0.5486111111111112,0.3194444444444444,0.13194444444444445
85,1461110400.0,test,144,0.3958333333333333,0.4444444444444444,0.1597222222222222
86,1461196800.0,test,144,0.375,0.4652777777777778,0.1597222222222222
87,1461283200.0,test,144,0.1111111111111111,0.45138888888888884,0.4375
88,1461369600.0,test,144,0.22916666666666666,0.45138888888888895,0.3194444444444444
89,1461456000.0,test,144,0.16666666666666666,0.6736111111111112,0.1597222222222222
90,1461542400.0,test,144,0.1111111111111111,0.7777777777777778,0.1111111111111111
91,1461628800.0,test,144,0.5138888888888888,0.38888888888888895,0.09722222222222222
92,1461715200.0,test,144,0.24305555555555555,0.6527777777777778,0.10416666666666667
93,1461801600.0,test,144,0.3819444444444444,0.42361111111111116,0.19444444444444445
94,1461888000.0,test,144,0.3541666666666667,0.3819444444444444,0.2638888888888889
95,1461974400.0,test,144,0.2847222222222222,0.4375,0.2777777777777778
96,1462060800.0,test,144,0.2847222222222222,0.4722222222222222,0.24305555555555555
97,1462147200.0,test,144,0.3611111111111111,0.4652777777777778,0.1736111111111111
98,1462233600.0,test,144,0.4861111111111111,0.36111111111111116,0.1527777777777778
99,1462320000.0,test,144,0.22916666666666666,0.6180555555555556,0.1527777777777778
100,1462406400.0,test,144,0.3333333333333333,0.5277777777777778,0.1388888888888889
101,1462492800.0,test,144,0.2152777777777778,0.5416666666666666,0.24305555555555555
102,1462579200.0,test,144,0.2152777777777778,0.5833333333333333,0.2013888888888889
103,1462665600.0,test,144,0.4097222222222222,0.5416666666666667,0.04861111111111111
104,1462752000.0,test,144,0.20833333333333334,0.6319444444444444,0.1597222222222222
105,1462838400.0,test,144,0.3611111111111111,0.6041666666666667,0.034722222222222224
106,1462924800.0,test,144,0.24305555555555555,0.7083333333333333,0.04861111111111111
107,1463011200.0,test,144,0.3680555555555556,0.4930555555555556,0.1388888888888889
108,1463097600.0,test,144,0.1388888888888889,0.3819444444444444,0.4791666666666667
109,1463184000.0,test,144,0.125,0.5972222222222222,0.2777777777777778
110,1463270400.0,test,144,0.1875,0.5347222222222222,0.2777777777777778
111,1463356800.0,test,144,0.2777777777777778,0.47916666666666663,0.24305555555555555
112,1463443200.0,test,144,0.4791666666666667,0.4097222222222222,0.1111111111111111
113,1463529600.0,test,144,0.3194444444444444,0.513888888888889,0.16666666666666666
114,1463616000.0,test,144,0.4375,0.48611111111111116,0.0763888888888889
115,1463702400.0,test,144,0.3263888888888889,0.6319444444444444,0.041666666666666664
116,1463788800.0,test,144,0.20833333333333334,0.35416666666666663,0.4375
117,1463875200.0,test,144,0.1527777777777778,0.5138888888888888,0.3333333333333333
118,1463961600.0,test,144,0.3194444444444444,0.5208333333333334,0.1597222222222222
119,1464048000.0,test,144,0.20833333333333334,0.4305555555555556,0.3611111111111111
120,1464134400.0,test,144,0.3402777777777778,0.4652777777777778,0.19444444444444445
121,1464220800.0,test,144,0.1875,0.4930555555555556,0.3194444444444444
122,1464307200.0,test,109,0.13761467889908258,0.5229357798165137,0.3394495412844037
