text,rating,date,class
"melhor escolha em Foz. atendimento nota mil, em especial para os garçons Victor, Matheus e Maik, e a camareira  localização perfeita para deslocamento na cidade seja de carro ou transporte público. fácil acesso aos principais pontos turísticos, bem como ao Paraguai e à argentina. cafe da manhã farto e com bastante variedades. sem contar a vista.",10,2024-01-07 00:00:00+00,1
最上階はテラスとプールがあり絶景です。,10,2024-01-07 19:48:33+00,1
"Gostaria de parabenizar por toda a organização e estrutura que o hotel oferece! Com toda a certeza irei indicar e, assim espero, possa voltar em breve. Em especial, citar o excelente atendimento recebido pela Larissa, alias, sempre muito educada e com sorriso no rosto! Sabemos o quanto ser bem atendido faz a diferença e isso fazem com excelência!",10,2024-01-08 00:00:00+00,1
"A localização é ótima, melhor coisa do hotel, fica numa avenida onde tem vários restaurantes, sorveterias, farmácias… fácil para ir para onde precisar. O problema maior é que é mais para apenas dormir do que aproveitar com a família. O quarto e banheiro são bons, atendem bem. Café da manhã bom, sem muitas coisas que chamem a atenção. Atendimento ótimo. A piscina é no último andar e só pode ser usada até as 18:00, o que atrapalha nesse calor de janeiro que é em Foz do Iguaçu, você não consegue chegar cansado e com calor e ir relaxar na piscina, não voltaria por causa disso. Outro ponto negativo é que só tem dois elevadores e ambos são bem demorados.",6,2024-01-09 00:00:00+00,0
"Tivemos 1 problema com o suprimento de PH e também algumas vezes com a fechadura da porta, problemas fáceis de resolver mas que requer atenção.",8,2024-01-10 00:00:00+00,1
"O atendimento é especial. Destaque para Jonas, Júlio e Larissa. Simpatia, atenção e solicitude. Muito bom. Me senti em casa. Gostei muito. Excelente! Recomendo bastante. Bar da piscina. Bons momentos com uma vista especial. Ótima opção.",10,2024-01-10 00:00:00+00,1
Excelente localização mas o barzinho que tem na esquina tira o sono com a música ao vivo no último volume. O hotel peca na conservação e no atendimento de recepção que é ruim mas tem um ótimo café da manhã e um lindo terraço com bar e piscina mirim.,6,2024-01-11 20:27:10+00,0
"Me hospedei pela primeira vez e fui muito bem atendida. Quero deixar em especial a atendente do do restaurante Larissa, muito gentil e atenciosa. Obrigada.",10,2024-01-12 00:28:31+00,1
"Excelente hotel,  funcionários impecáveis,  restaurante e bar muito bom na piscina, localização ótima tbm, recomendo!!!",10,2024-01-12 19:45:53+00,1
"Hotel muito bom na região e ótimo serviço dos funcionários, principalmente os do ""SkyBar"", restaurante e bar que possuem no último andar, com vista e piscina. 
Localização ótima, em uma das vias principais da cidade, segura e com muitas opções próximas de restaurante.",10,2024-01-13 00:00:00+00,1
"Muito ruim a começar que não tem carregador de bagagem e nem manobrista vc mesmo tem que guardar o carro na garagem, no quanto copos de plástico isso é um absurdo. Pelo valor que é uma diária não vale a pena .",2,2024-01-13 18:22:31+00,-1
"É excelente atendimento dos profissionais, lugar muito agradável, som ambiente ótimo, uma vista linda da cidade e de outros países, garçons com excelente educação e atendimento, muitos prestativos, a refeições são ótimas e os drink excelentes,",10,2024-01-14 00:00:00+00,1
Great hotel for 3 stars! Would recommend.,10,2024-01-14 21:21:13+00,1
Ótimo tudo maravilhoso😍,10,2024-01-14 22:04:40+00,1
"Hotel está localizado em uma área bem agradável, cerca de 20 min de carro dos principais pontos turísticos. Além disso, tem muitos restaurantes por perto e pontos de ônibus.",8,2024-01-15 01:29:33+00,1
"La vista desde el hotel es muy buena
La habitación 1008 faltaría renovar, me toco sábanas con agujeros
En recepción demoramos un poco porque según ellos en su sistema no tenían mi reserva hecha por Booking.....",6,2024-01-15 09:20:25+00,0
"Ótima localização,  tem lanchonetes, mercado, farmácia e restaurantes ao redor . Lojinhas polulares para compras na rua em frente. 30 minutos das Cataratas e Parque das aves .  E a  melhor vista do pôr do sol de Foz Do Iguaçu com uma piscina maravilhosa e atendimento muito atencioso no 17 andar com bar e refeições saborosas para adultos e crianças.  Super recomendo e voltarei assim que puder. Detalhe: Tem maleiro para guardar as bagagens depois do check-out estão você pode ir almoçar fora e voltar pegar suas coisas depois. Maravilhoso! Amei!",10,2024-01-17 00:00:00+00,1
"O hotel tem um bom atendimento dos funcionários  super prestaritivos, tive um imprevisto  com o meu quarto  e após conversar com funcionários trocaram o meu quarto e problema foi  resolvido de forma prática e rápida.
Um ponto super positivo  do hotel é localização ,que dá para fazer tudo a pé, restaurantes e comércios  próximos.",8,2024-01-17 19:38:19+00,1
Super confortável.,10,2024-01-18 19:44:49+00,1
"Lugar maravilhoso, limpo, quartos confortáveis, café da manhã muito bom. Funcionários atenciosos e educados. Destaco a gentileza, atenção da funcionária Larissa, na qual nos ajudou em dicas!!! Super recomendo o local!!!",10,2024-01-19 00:00:00+00,1
"Atendimento com excelência. Funcionários bem educados.
Quartos confortáveis, limpos e com ar-condicionado.
Boa localização.
Possui bar, com música ao vivo.
O terraço possui uma vista incrível do pôr do sol.
Próximo a bares, supermercado e igreja.",10,2024-01-21 00:00:00+00,1
"Hotel super bem localizado , quartos grandes e confortáveis , café da manhã excelente .
Bar da cobertura com som ao vivo no por do sol e a noite é um espetáculo.
Destaque para o excelente atendimento da Larissa , super gentil , cordial , disponível e simpática . O atendimento dela é ímpar . O Paulo também nos atendeu muito bem .
Recomendamos muito este hotel que também fica próximo a ótimos restaurantes, cafeterias e sorveterias .",10,2024-01-21 00:00:00+00,1
Segunda vez que hospedo...voltarei com certeza,10,2024-01-21 07:43:34+00,1
"Hotel novo e bem localizado, quarto amplo e confortável, completo café da manhã, bom atendimento e tem uma vista linda pelo último andar onde fica a piscina. Próximo tem boas opções para almoço ou jantar e ao lado uma sorveteria que tb serve lanches e um capuccino delicioso 😋",10,2024-01-23 00:00:00+00,1
"Fiquei hospedado com meu pai 19 a 21/1/24.
Atendimento muito prestativo tanto na recepção quanto no refeitório e quartos.
Quartos sempre limpos e higienizados , visão privilegiada da vista de Foz da janela do apartamento, nada a reclamar do quartos.
Quanto ao café da manha, a moca da recepção sempre prestativa e com sorriso no rosto e  inclusive os demais funcionários do local sempre dispostas a ajudar e bastantes simpáticos e prestativos.
Quanto retornar a Foz com certeza voltarei se hospedar neste hotel .
Único defeito é que: hotel  tem apenas 2 elevadores e quando esta lotado demora alguns minutos para usar mas supre as necessidades de ótimo hotel que fica no centro da cidade.
Recomendo e muito ,,,",10,2024-01-23 16:29:29+00,1
"Patricia, the hotel's tourism agent went out of her way to rectify a tour reservation and ticket problem. Thank you.",10,2024-01-26 00:00:00+00,1
"Hotel bom com excelente localização, mas peca pelo fato de só haver dois elevadores, que são insuficientes para atender a demanda, check in demorado, academia fraquissima, se duas pessoas forem fazer musculação ( uma tem que esperar a outra, pois o aparelho e integrado), só tem duas esteiras e a bicicleta não funciona. Quartos são bons com otimo chuveiro. Recomendo com restrições.",8,2024-01-27 08:52:29+00,1
"Hotel bem localizado, perto de bares, restaurantes e perto das principais atrações turísticas. A limpeza deixa um pouco a desejar.",6,2024-01-30 00:00:00+00,0
"Boa localização, mas ao mesmo tempo ao lado dos bares com musica barulhenta até tarde da noite.
A piscina tem boa vista, mas fecha cedo (18h), pois o local abre um bar para os visitantes da cidade, o que conflita com a área de lazer dos hospedes.. ponto negativo para isto.",8,2024-02-05 00:00:00+00,1
Recomendado!!,10,2024-02-05 00:35:07+00,1
"Ótimo custo benefício, lugar agradável, localização otima",10,2024-02-07 00:00:00+00,1
"Hotel com excelente localização, próximo de restaurantes e farmácia. Quarto amplo, camas confortáveis e excelente limpeza do ambiente (as toalhas poderiam estar mais alvas), áreas comuns muito agradáveis. O rooftop é ótimo e tem uma linda vista da cidade, com piscina, restaurante muito bom, garçons prestativos e simpáticos, o cardápio poderia ser mais variado. Café da manhã bom, pedimos ovos fritos não mexidos e fomos atendidas. Apenas na recepção, funcionários foram muito educados, mas faltou acolhimento, simpatia.",8,2024-02-07 00:00:00+00,1
"Hotel muito bem localizado, limpo, quartos amplos e bem decorados. Café da manhã diversificado. Atendimento rápido. Rooftop muito bonito, um por do sol de cinema. Restaurantes, farmácias e bom acesso para qualquer ponto da cidade.",10,2024-02-07 11:50:14+00,1
"Cambiar almohadas y edredón, cubrecamas.  Olor a humedad en la abitacion .
No sabían de mi reserva . Me armaron una abitacion  de apuro con mucho  olor a humedad .
Había entrado agu desde la ventana todavía se veía las manchas.  El ascenso  es viejo y pudieron cámaras. Uno se siente observado  en todo momento. Las algombras de los pasillos son muyyyyyy viejas  etc etc etc
Ya no es el Visle tower que conocimos",4,2024-02-08 00:00:00+00,-1
"BOA LOCALIZAÇÃO, ÓTIMO CAFÉ DA MANHÃ.",8,2024-02-08 00:00:00+00,1
"Me hospedo todo final de ano com minha família no Viale Tower e nunca tive uma experiência ruim.
A infraestrutura é ótima,a área da piscina tem uma vista linda ,a localização é excelente com varias opções de restaurantes ao redor e o time de funcionários é muito prestativo,fora o café da manhã que é muito bem servido também!",10,2024-02-09 19:06:47+00,1
"Tudo ocorreu conforme o esperado. Os elevadores foram rápidos, mesmo com o número grande de andares. Café da manhã bem servido. Todos os atendentes bem simpáticos e solicitos. Ótima localização na área central, muito próximo a vários restaurantes que abrem todos os dias.",10,2024-02-10 00:00:00+00,1
Horrible costumer service,2,2024-02-12 00:00:00+00,-1
"Excellent roof terrace, staff a little unfriendly but did the job. Rooms satisfactory.",8,2024-02-12 16:05:08+00,1
"O hotel perdi muito sua qualidade nos últimos meses. Muito sujo, desde vidros e áreas comuns. Nosso quarto a pia do banheiro entupida e não havia saboneteira no boxe .. ( onde coloca-se sabonete para tomar um banho??) vidros do quarto muito sujos.",4,2024-02-13 00:00:00+00,-1
"Estivemos visitando o Sky bar e que vista, a mais linda de Foz, atendimento impecável do pessoal de serviço, tem dias com música eletronica e outros com voz e violão, pratos bem acessíveis, estacionamento incluso no ingresso, sim tem que pagar um ingresso pra ter acesso ao terraço, mas vale cada centavo.",10,2024-02-13 16:28:07+00,1
Muito bom.,10,2024-02-13 22:12:13+00,1
"Quartos confortáveis, limpeza, educação da equipe e excelente localização com diversas opções ao redor.",10,2024-02-13 22:46:38+00,1
"Bonito lugar, linda vista",8,2024-02-14 04:23:37+00,1
"Hotel com conforto, excelente localização e café da manhã gostoso.
Os funcionários são simpáticos, em especial o Paulo que trabalha no Sky Bar.
Quartos espaçosos, chuveiro muito bom. O ar condicionado é um pouco fraco, mas foi suficiente para que pudéssemos dormir saudavelmente.
Apesar de ficar um pouco distante das Cataratas e do Marco das 3 Fronteiras, pois aqui é tudo muito afastado, fica bem ao centro, próximo de comércio, bares e restaurantes.
A vista é muito bonita. Dá pra enxergar ao longe a Binacional.
O WI-FI funciona bem. E isso é importante, pois a Vivo não pega em quase nenhum lugar em Foz do Iguaçu, fica em roaming...
Recomendo a estadia.
.
Atualização: tome um expresso durante o pôr do Sol no Sky Bar. Que cafezinho sensacional...",10,2024-02-16 10:24:10+00,1
"Excelente, ótimo custo benefício!",10,2024-02-18 00:00:00+00,1
....,8,2024-02-19 00:00:00+00,1
"Sempre q vou a Foz fico nesse hotel, ótimo custo beneficio.",10,2024-02-19 00:00:00+00,1
Great location. The hotel rooms are basic but clean. Rooftop pool is added attraction. Breakfast is good but basic.,8,2024-02-20 00:00:00+00,1
Quarto muito bom (travesseiros e colchão  muito bons) exceto pelo ar condicionado que pinga a noite do nada e a limpeza poderia ser melhor do quarto e banheiro..meio superficial p um hotel dessa categoria...máquina do café na recepção falha..não tem produto correto ...o que conta é  a presteza dos funcionários isso é impecável.,8,2024-02-22 00:00:00+00,1
"Bons e macios e limpos. Acredito que ter pelo
menos 200 caracteres para poder continuar com a avaliacao e um desgaste desnecessario porque o que tem que ser avaliado com poucas palavras serao muito
mais uteis do que ficar escrevendo um monte de coisas. Favor rever este criterio.",10,2024-02-23 00:00:00+00,1
Simplesmente o melhor hotel de Foz com a vista mais incrível! Finais de semana com música ao vivo em frente a uma piscina de borda infinita. Pratos excelentes e funcionários muito simpáticos! Café da manhã muito gostoso. Pra fechar com chave de ouro a  localização é no coração de Foz!,10,2024-02-23 00:00:00+00,1
"A localização do hotel é excelente próximo a bares e restaurantes.

Quartos grandes camas aconchegante, ducha com boa vasão. 

Os funcionários são super atenciosos atendem aos pedidos prontamente,  principalmente o Jonas e sua equipe responsáveis pelo café da manhã e Sky o que torna a experiência incrível.",10,2024-02-24 00:00:00+00,1
"Funcionários atenciosos e prestativos,
Principalmente Jonas e sua equipe, sempre atento as necessidades do hóspede , hotel bem localizado, perto d restaurante,bares e farmácia, serviço de quarto rápido e café da manhã atende várias necessidades do hóspede seja a viagem ou a trabalho,já me hospedei aqui várias vezes e continuarei a voltar",10,2024-02-24 00:00:00+00,1
"1) Excelente ubicacion para vida nocturna. 
2) relativamente facil de llegar al parque iguazu para ver las cataratas. 
3) relativamente cercano ( aunque no tanto ) , de la frontera con ciudad del este. 
4) Muy buena edificacion. 
5) pocos ascensores para la cantidad de 
Habitaciones. 
6) el precio me parecio correcto. 
7) buena atencion. 
8) la velocidad de internet bastante mala. 
9) cerca de supermercado grande. (300 metros )",8,2024-02-24 00:00:00+00,1
"Hotel confortável, muito bem localizado, café da manhã delicioso!",10,2024-02-25 00:00:00+00,1
"Meu elogio vai para o pessoal do café da manhã Naiane, Ruth e Thais, essas meninas são maravilhosas e atenciosas. Só uma sugestão o buffet  da manhã pode melhorar. Os elevadores também um caos quando  tem muito movimento. Voltarei mais vezes.",10,2024-02-25 00:00:00+00,1
"A atenção e carinho dos funcionários da recepção e do bar do hotel são as melhores fui muito bem atendido por lá...um carinho especial pelo funcionário (Victor) do bar muito simpático e solicito...
Já o ruim fica por conta do pessoal de reservas pouco atencioso e não atende o telefone por nada e fiquei horas pra confirmar minha reserva",8,2024-02-28 00:00:00+00,1
"This is a pleasant little hotel right in the center of Foz do Iguacu, which is a much nicer town than I expected it to be.  There are several really good restaurants in the area.  The room was nice, although my one complaint would be that the windows didn't open so we could never air the room out and it got very stuffy.  There is a nice roof-top bar with a tiny pool.  The breakfast selection is good, although the breakfast room also gets stuffy due to lack of ventilation.  Overall, however, a very nice place to stay.",10,2024-03-02 00:00:00+00,1
"Hotel novo, piscina muito boa, cafezão da manhã e gentileza de todos os funcionários. Vista linda de parte da cidade!",10,2024-03-02 17:33:14+00,1
"Hotel com excelente localização, com bares, restaurantes e fast foods ao redor, confortavelmente indo a pé.

Quarto espaçoso e muito confortável com uma ducha super relaxante que renova para manter a maratona de passeios.

Café da manhã com muitas opções e variedades, tem para todos os gostos.

A vista da piscina é deslumbrante pena estar fechada no nascer do sol, mais isso não tira o glamour.

A recepção linda decoração temática da páscoa, com espaço para fotos, super criativos e de excelente bom gosto.

E o que falar dos funcionários...maravilhosos!!!! Todos muito atenciosos, prestativos super acolhedores.

Recomendo de olhos fechados e com certeza irei retornar.",10,2024-03-02 19:43:46+00,1
"Hotel muito bom. Quartos, limpeza, alimentação.  Somente as toalhas de banho poderiam ser melhores. Compatíveis com o ladrão do hotel.",8,2024-03-03 13:22:27+00,1
"gostaria de parabenizar o hotel pela limpeza, café da manhã excelente, e a comida do restaurante ótima também, e parabenizar em especial a Larissa, Matheus, Thais e Haiane pelo ótimo atendimento, foram super prestativos e educados. Com certeza voltarei e indicarei o hotel",10,2024-03-04 00:00:00+00,1
"O hotel Viale Tower é ótimo! Muito bem localizado e limpo! Cama deliciosa, espaço no quarto e banheiro muito bom!   Funcionários solícitos e cordiais! O rooftop é uma experiência sensacional! Vale a pena tomar um drink vendo o pôr do sol com aquela vista linda!",10,2024-03-05 00:00:00+00,1
Ok,10,2024-03-05 21:06:46+00,1
"Excelente ambiente, funcionários atenciosos e uma linda visão da tríceps fronteira Brasil, Paraguay e Argentina.",8,2024-03-05 21:13:51+00,1
Os garçons é as garçonete são super atenciosos é o quanro é confortável ele é limpo todo dia é ele só não tem janela no banheiro mas tem uma saída de ar quando aperta um dos  dois interruptores no banheiro. Mais a picina eu achei um pouco pequena mas é bom.,10,2024-03-06 00:00:00+00,1
"Padrão zero, atendimento ruim, sem limoeza de quarto
Hotel sem padrão nenhum, quartos sujos e não fazem a limpeza diaria.Mal atendimento na recepção.  Sem limpeza dos quarto.
Sky bar não atendem o pedido. 
Fiz pedido de agua demorou 20 minutos pra trazer",2,2024-03-07 00:00:00+00,-1
Muito agradável e num lugar bem legal,10,2024-03-07 00:00:00+00,1
"Hotel muito bom, os atendentes são simpáticos.
A equipe que limpou o quarto no dia 08/03/24 no 16° andar foi a melhor de toda estagia. 
Entretanto, abrir ao público externo o terraço tira a privacidade dos hóspedes e acúmulo (não tendo mesas e cadeiras para os hospedes), é um ponto muito complicado, penso que a prioridade seria os hóspedes.",8,2024-03-08 00:00:00+00,1
"Hotel maravilhoso perfeito, café da manhã impecável,atendimento do pessoal do Sky bar maravilhoso especialmente pra Larissa e toda equipe dela que nos ajudou com passeio indicações drinks maravilhoso primeira vez no hotel e amei indico pra vocês por do sol e a coisa mais linda que vi super indico",10,2024-03-08 00:00:00+00,1
"A experiência no hotel viale tower com a equipe SKY bar não poderia ser melhor atendimento da Larissa e equipe São maravilhosos como nunca tive em outro hotel que me hospedei até hoje espetacular, café da manhã como ao todo fomos super bem atendida irei recomendar para todos meus amigos em breve retornarei",10,2024-03-09 00:00:00+00,1
"Adorei todos os funcionários deste hotel Vialle Tower! especialmente os do Sky bar, Larissa e equipe e a equipe do café da manhã, que nos acolheram e recepcinaram muito bem.  Indicarei  este hotel pela sua localização e atendimento de excelência.",10,2024-03-09 00:00:00+00,1
"Ótima localização, atendimento, café da manhã, estacionamento. Entretanto, os elevadores não dão conta do movimento. Chega a ser insuportável a espera.",10,2024-03-09 00:48:18+00,1
"Quarto antigo, precisa atualizar, camareira batendo na porta as 08:00, falta de organização para informar a mesma que o quarto estava ocupado, tivemos que acordar para abrir a porta",6,2024-03-10 00:00:00+00,0
Local maravilhoso e equipe top,10,2024-03-10 11:00:00+00,1
Experiência muito boa. Excelente opção de hospedagem. Valeu muito!,8,2024-03-10 17:21:48+00,1
Excelente hotel! Sempre nos hospedamos nele!,10,2024-03-10 20:12:23+00,1
Ótimo está de parabéns a administração e funcionário,10,2024-03-11 17:07:27+00,1
"O hotel é muito bem localizado no centro de Foz de Iguaçu.

Nosso quarto era muito grande e confortável. O wifi funcionou bem.

O atendimento foi simpático.

Contudo, verificamos algumas falhas que podem ser melhoradas. 

O café da manhã era bom, mas pouco variado. Em um dos dias, a salada de frutas oferecida estava estragada.

O bar na cobertura é muito bonito. Contudo, não pudemos usar, no fim de semana, pois ele estava lotado com pessoas de fora.

Como o hotel estava muito cheio, o tempo de espera nos elevadores era muito elevado.

Uma nota correta mais correta seria 3,5.",8,2024-03-17 00:00:00+00,1
"Bastante tranquila e confortável. Chuveiro muito bom, ar condicionado gelando, quarto espaçoso.
Vista da cobertura com o pôr do sol  fantástico, porém muito acanhado o espaço dividido entre banhistas da piscina e outros hóspedes.
Elevador tbm muito disputado na hora do café da manhã.
Localização excelente perto do centro comercial, perto da vida noturna e tbm do transporte público.
Recomendo muito, voltarei sempre.
MÁRCIO COSTA 
PARACAMBI RJ
14/03/24",8,2024-03-19 00:00:00+00,1
"Hotel novo é bem estruturado com custo/benefício acima da média. Equipe de atendimento do turismo extremamente simpática e oferecendo pacotes bem interessantes. Área de turismo de Foz do Iguaçu extremamente organizada, padrão internacional. Fiquei orgulhoso de ser brasileiro",10,2024-03-21 00:00:00+00,1
"Hospedagem muito boa,com destaque para o sky bar, vista linda da cidade, por do sol e fantástico, fomos muito bem atendidos, especialmente pela Larissa. Merecem todos os elogios, com certeza indicarei o lugar pela sua localização  e ótimo atendimento.",10,2024-03-21 00:00:00+00,1
"O hotel tem uma estrutura muito boa, quarto com cama boa, chuveiro bom, café da manhã bem servido, funcionários atenciosos e educados, especialmente a Larissa e o Enéas do atendimento do bar da piscina. Caso retorne um dia, ficarei nesse hotel novamente.",8,2024-03-21 00:00:00+00,1
"A localização do hotel é perfeita e as instalações também. Os funcionárias são muito educados e a limpeza é perfeita. As roupas de cama e banho precisam melhorar.
O café da manhã e bom. Super recomendo o hotel e quando retornar vou ficar novamente no Viale",10,2024-03-22 00:00:00+00,1
"Estadia muito boa, atendimento excelente, me atenderam prontamente quanto ao meu problema de Lactose, hotel bem localizado, perto de tudo. A piscina que fica no ultimo andar tem uma vista maravilhoso, um pôr do sol espetacular!!!!!!",10,2024-03-22 00:00:00+00,1
Guzel otel,8,2024-03-22 00:59:33+00,1
"Ja a algum tempo estava para hospedar-me no VIALE TOWER, e a oportunidade nunca aparecia de verdade, porem agora em março de 2024 ela apareceu e nao deixei escapar,e so posso dizer q foi otimo,alem do bom hotel sua localização tb e excelente e se falar dos funcionarios, sera dificil escolher um so.
Começando pelo Cristiano,Jonatas,Marcelo,Aline,Bruno,Claudia,Thais,Eneas,Ruth(irmanzinha)Mia e entre outros q nao lembro o nome,mais eu sempre digo o seguinte: O hotel é a sua equipe,qdo a equipe é boa o hotel nao tem defeitos(kkk)....
E nao posso esquecer do seu Diretor Comercial Luciano, pois tudo começou com ele e a Bruna.
Olha se eu pudesse daria uma medalha a cada de vcs,porem quem le esse comentario e so procurar um desse acima citado q estara bem servido.
Abraços.

Nilton Araujo",10,2024-03-24 00:00:00+00,1
"Tudo muito bom, só não  recebeu nota 5 devido a problemas no elevador durante nossa estadia,  e a qualidade das roupas de cama e banho já bastante desgastadas.
No mais só elogios,  funcionários muito atenciosos, localização excelente,  infraestrutura completa.",8,2024-03-24 00:00:00+00,1
A nice hotel located in a part of town with many bars and restaurants. Good choice for a few days in Foz.,10,2024-03-24 20:49:50+00,1
"Also, der Standort vom Hotel ist sehr zentral. Allerdings hat der ganze 11 Stock muffig gerochen und auch mein Zimmer. Die Klimaanlage hat direkt auf's Bett geblasen, so dass Sie immer wieder ausschalten musste. Das Frühstück war nicht besonders. Weckservice bieten Sie nicht an.",6,2024-03-25 21:03:31+00,0
"Mixed review. Our first night, we had no bedspreads. Also, towels were thready and thin. I loved the Easter decor and breakfast offered  pretty good variety. Most staff very friendly and helpful.",6,2024-03-26 00:00:00+00,0
"The hotel was quite adequate for our purposes - that being to enjoy Iguazu Falls.
The breakfast was good and plentiful.
The view from the roof-top bar and restaurant were delightful.
Some very good restaurant choices nearby.",10,2024-03-28 00:00:00+00,1
Atendimento de excelente qualidade! Profissionais muito educados e atenciosos! Acomodação muito confortável e organizada! Muito satisfeita! E a Larissa do SKY bar é extremamente simpática! Faltam palavras pra descrever a satisfação com a hospedagem!,10,2024-03-29 00:00:00+00,1
